from,to,relation
drak,univ,3
doja,rca,1
rca,sony,2
morg,bigl,1
bigl,ampe,2
futu,free,1
free,epic,2
epic,sony,4
futu,epic,1
just,rbmj,1
rbmj,defj,4
defj,univ,2
tayl,repu,1
repu,univ,2
jack,gene,1
gene,atla,4
atla,warn,2
post,repu,1
post,merc,1
merc,isla,4
isla,univ,4
liln,colu,1
colu,sony,2
lild,alam,1
alam,sony,2
sza,topd,3
sza,rca,1
gunn,youn,1
youn,thre,2
thre,warn,4
step,walt,5
walt,univ,2
beyo,colu,1
koda,atla,1
koda,snip,1
latt,rca,1
bail,wana,1
wana,warn,2
bail,elek,1
elek,warn,2
lizz,tota,3
lizz,atla,1
lizz,nice,1
nice,atla,6
lizz,bigg,3
luke,rive,3
sowa,sony,2
imag,kidi,1
kidi,inte,4
inte,univ,2
cole,wana,1
kane,zone,1
zone,inte,6
zone,univ,2
kane,rcan,1
rcan,sony,2
walk,monu,1
monu,sony,2
jid,drea,1
drea,inte,2
nick,repu,1
nick,yomo,1
yomo,repu,4
yomo,univ,2
nick,cash,1
yomo,cash,6
cash,repu,4
cash,univ,2
dian,walt,5
stev,rca,1
stev,lm,1
kend,afte,1
afte,inte,2
afte,univ,4
kend,inte,1
zach,warn,1
niyo,thir,3
yoth,youn,1
yoth,thre,1
embe,moon,1
moon,repu,4
embe,repu,1
oner,mosl,1
mosl,inte,2
oner,inte,1
adas,univ,3
aria,repu,1
gayl,atla,1
gayl,arth,3
charl,atla,1
jord,unna,1
unna,univ,2
rhen,walt,5
dazy,thir,2
